experiment,mode,N,workers,trial,pi,error,time_sec
n_size,serial,1000000,1,1,3.141592653589764,2.886579864025407e-14,0.000981000
n_size,serial,1000000,1,2,3.141592653589764,2.886579864025407e-14,0.000949000
n_size,serial,1000000,1,3,3.141592653589764,2.886579864025407e-14,0.000941000
n_size,openmp,1000000,4,1,3.141592653589876,8.260059303211165e-14,0.000314000
n_size,openmp,1000000,4,2,3.141592653589876,8.260059303211165e-14,0.000315000
n_size,openmp,1000000,4,3,3.141592653589876,8.260059303211165e-14,0.000306000
n_size,mpi,1000000,4,1,3.141592653589903,1.101341240428155e-13,0.000446000
n_size,mpi,1000000,4,2,3.141592653589903,1.101341240428155e-13,0.000599000
n_size,mpi,1000000,4,3,3.141592653589903,1.101341240428155e-13,0.000456000
n_size,serial,10000000,1,1,3.141592653589731,6.217248937900877e-14,0.009663000
n_size,serial,10000000,1,2,3.141592653589731,6.217248937900877e-14,0.009572000
n_size,serial,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009689000
n_size,openmp,10000000,4,1,3.141592653589670,1.234568003383174e-13,0.002602000
n_size,openmp,10000000,4,2,3.141592653589670,1.234568003383174e-13,0.002947000
n_size,openmp,10000000,4,3,3.141592653589670,1.234568003383174e-13,0.002590000
n_size,mpi,10000000,4,1,3.141592653589686,1.070254995738651e-13,0.005369000
n_size,mpi,10000000,4,2,3.141592653589686,1.070254995738651e-13,0.003986000
n_size,mpi,10000000,4,3,3.141592653589686,1.070254995738651e-13,0.002546000
n_size,serial,100000000,1,1,3.141592653590426,6.332712132461893e-13,0.096109000
n_size,serial,100000000,1,2,3.141592653590426,6.332712132461893e-13,0.095699000
n_size,serial,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.097518000
n_size,openmp,100000000,4,1,3.141592653589683,1.105782132526656e-13,0.027583000
n_size,openmp,100000000,4,2,3.141592653589683,1.105782132526656e-13,0.028548000
n_size,openmp,100000000,4,3,3.141592653589683,1.105782132526656e-13,0.026278000
n_size,mpi,100000000,4,1,3.141592653590217,4.236611061969597e-13,0.032140000
n_size,mpi,100000000,4,2,3.141592653590217,4.236611061969597e-13,0.032623000
n_size,mpi,100000000,4,3,3.141592653590217,4.236611061969597e-13,0.027546000
n_size,serial,1000000000,1,1,3.141592653589971,1.776356839400250e-13,0.964626000
n_size,serial,1000000000,1,2,3.141592653589971,1.776356839400250e-13,0.959069000
n_size,serial,1000000000,1,3,3.141592653589971,1.776356839400250e-13,1.045014000
n_size,openmp,1000000000,4,1,3.141592653589821,2.797762022055394e-14,0.305188000
n_size,openmp,1000000000,4,2,3.141592653589821,2.797762022055394e-14,0.305427000
n_size,openmp,1000000000,4,3,3.141592653589821,2.797762022055394e-14,0.275258000
n_size,mpi,1000000000,4,1,3.141592653589768,2.486899575160351e-14,0.263645000
n_size,mpi,1000000000,4,2,3.141592653589768,2.486899575160351e-14,0.262848000
n_size,mpi,1000000000,4,3,3.141592653589768,2.486899575160351e-14,0.263203000
strong_scaling,serial,100000000,1,1,3.141592653590426,6.332712132461893e-13,0.098132000
strong_scaling,serial,100000000,1,2,3.141592653590426,6.332712132461893e-13,0.096087000
strong_scaling,serial,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.096578000
strong_scaling,openmp,100000000,1,1,3.141592653590426,6.332712132461893e-13,0.099579000
strong_scaling,openmp,100000000,1,2,3.141592653590426,6.332712132461893e-13,0.098239000
strong_scaling,openmp,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.098599000
strong_scaling,openmp,100000000,2,1,3.141592653589910,1.167954621905665e-13,0.049819000
strong_scaling,openmp,100000000,2,2,3.141592653589910,1.167954621905665e-13,0.049657000
strong_scaling,openmp,100000000,2,3,3.141592653589910,1.167954621905665e-13,0.049684000
strong_scaling,openmp,100000000,4,1,3.141592653589683,1.105782132526656e-13,0.026987000
strong_scaling,openmp,100000000,4,2,3.141592653589683,1.105782132526656e-13,0.026851000
strong_scaling,openmp,100000000,4,3,3.141592653589683,1.105782132526656e-13,0.026669000
strong_scaling,openmp,100000000,8,1,3.141592653589816,2.264854970235319e-14,0.022089000
strong_scaling,openmp,100000000,8,2,3.141592653589816,2.264854970235319e-14,0.022361000
strong_scaling,openmp,100000000,8,3,3.141592653589815,2.176037128265307e-14,0.021547000
strong_scaling,mpi,100000000,1,1,3.141592653590426,6.332712132461893e-13,0.097325000
strong_scaling,mpi,100000000,1,2,3.141592653590426,6.332712132461893e-13,0.096179000
strong_scaling,mpi,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.096225000
strong_scaling,mpi,100000000,2,1,3.141592653590022,2.291500322826323e-13,0.049725000
strong_scaling,mpi,100000000,2,2,3.141592653590022,2.291500322826323e-13,0.049840000
strong_scaling,mpi,100000000,2,3,3.141592653590022,2.291500322826323e-13,0.049924000
strong_scaling,mpi,100000000,4,1,3.141592653590217,4.236611061969597e-13,0.026393000
strong_scaling,mpi,100000000,4,2,3.141592653590217,4.236611061969597e-13,0.025878000
strong_scaling,mpi,100000000,4,3,3.141592653590217,4.236611061969597e-13,0.026120000
strong_scaling,mpi,100000000,8,1,3.141592653589614,1.794120407794253e-13,0.024529000
strong_scaling,mpi,100000000,8,2,3.141592653589614,1.794120407794253e-13,0.024923000
strong_scaling,mpi,100000000,8,3,3.141592653589614,1.794120407794253e-13,0.024719000
weak_scaling,openmp,10000000,1,1,3.141592653589731,6.217248937900877e-14,0.010069000
weak_scaling,openmp,10000000,1,2,3.141592653589731,6.217248937900877e-14,0.009861000
weak_scaling,openmp,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009726000
weak_scaling,openmp,20000000,2,1,3.141592653589929,1.354472090042691e-13,0.010188000
weak_scaling,openmp,20000000,2,2,3.141592653589929,1.354472090042691e-13,0.010251000
weak_scaling,openmp,20000000,2,3,3.141592653589929,1.354472090042691e-13,0.010056000
weak_scaling,openmp,40000000,4,1,3.141592653589848,5.506706202140776e-14,0.010177000
weak_scaling,openmp,40000000,4,2,3.141592653589848,5.506706202140776e-14,0.010666000
weak_scaling,openmp,40000000,4,3,3.141592653589848,5.506706202140776e-14,0.012883000
weak_scaling,openmp,80000000,8,1,3.141592653589766,2.753353101070388e-14,0.017962000
weak_scaling,openmp,80000000,8,2,3.141592653589766,2.708944180085382e-14,0.018719000
weak_scaling,openmp,80000000,8,3,3.141592653589765,2.797762022055394e-14,0.018734000
weak_scaling,mpi,10000000,1,1,3.141592653589731,6.217248937900877e-14,0.009878000
weak_scaling,mpi,10000000,1,2,3.141592653589731,6.217248937900877e-14,0.009905000
weak_scaling,mpi,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009884000
weak_scaling,mpi,20000000,2,1,3.141592653589820,2.664535259100376e-14,0.010098000
weak_scaling,mpi,20000000,2,2,3.141592653589820,2.664535259100376e-14,0.010206000
weak_scaling,mpi,20000000,2,3,3.141592653589820,2.664535259100376e-14,0.010169000
weak_scaling,mpi,40000000,4,1,3.141592653589948,1.549871342376719e-13,0.010118000
weak_scaling,mpi,40000000,4,2,3.141592653589948,1.549871342376719e-13,0.011753000
weak_scaling,mpi,40000000,4,3,3.141592653589948,1.549871342376719e-13,0.010105000
weak_scaling,mpi,80000000,8,1,3.141592653589921,1.283417816466681e-13,0.016228000
weak_scaling,mpi,80000000,8,2,3.141592653589921,1.283417816466681e-13,0.020501000
weak_scaling,mpi,80000000,8,3,3.141592653589921,1.283417816466681e-13,0.020780000
